HH MM       Wp      kak      lrm      wmq      izn      fur      ebr      tdc      sjg      tuc      hon      cnb   n
01 48    0.120    0.171    0.055  999.000  999.000    0.205    0.111    0.092    0.071    0.105    0.084    0.346   4
01 49    0.119    0.122    0.114  999.000  999.000    0.171    0.116    0.130    0.059    0.092    0.073    0.189   4
01 50    0.077    0.076    0.078  999.000  999.000    0.096    0.075    0.094    0.043    0.039    0.031    0.181   4
01 51    0.074    0.072    0.068  999.000  999.000    0.099    0.088    0.073    0.034    0.045    0.023    0.201   4
01 52    0.101    0.088    0.123  999.000  999.000    0.167    0.112    0.098    0.027    0.054    0.040    0.231   4
01 53    0.122    0.168    0.129  999.000  999.000    0.235    0.125    0.089    0.041    0.083    0.081    0.374   4
01 54    0.093    0.176    0.228  999.000  999.000    0.161    0.096    0.075    0.041    0.175    0.059    0.535   4
01 55    0.121    0.198    0.534  999.000  999.000    0.222    0.119    0.110    0.032    0.258    0.079    0.789   4
01 56    0.152    0.291    0.326  999.000  999.000    0.273    0.155    0.123    0.057    0.217    0.097    0.866   4
01 57    0.117    0.193    0.282  999.000  999.000    0.215    0.088    0.116    0.048    0.143    0.053    0.829   4
01 58    0.120    0.127    0.363  999.000  999.000    0.176    0.115    0.124    0.063    0.159    0.093    1.388   4
01 59    0.177    0.148    0.306  999.000  999.000    0.268    0.179    0.171    0.091    0.150    0.091    1.137   4
02 00    0.139    0.146    0.284  999.000  999.000    0.232    0.136    0.118    0.075    0.132    0.061    0.773   5
02 01    0.115    0.143    0.150  999.000  999.000    0.214    0.129    0.100    0.068    0.065    0.034    0.943   5
02 02    0.090    0.097    0.142  999.000  999.000    0.126    0.109    0.095    0.063    0.059    0.030    0.498   5
02 03    0.063    0.084    0.124  999.000  999.000    0.111    0.063    0.046    0.044    0.053    0.031    0.404   5
02 04    0.076    0.088    0.276  999.000  999.000    0.115    0.074    0.066    0.051    0.073    0.041    0.443   5
02 05    0.140    0.098    0.367  999.000  999.000    0.244    0.183    0.133    0.055    0.086    0.054    0.690   5
02 06    0.219    0.139    0.249  999.000  999.000    0.424    0.293    0.193    0.056    0.129    0.059    0.911   5
02 07    0.198    0.155    0.136  999.000  999.000    0.347    0.234    0.216    0.049    0.145    0.064    0.510   5
02 08    0.186    0.131    0.273  999.000  999.000    0.312    0.210    0.233    0.079    0.096    0.069    0.433   5
02 09    0.140    0.061    0.433  999.000  999.000    0.209    0.137    0.157    0.057    0.138    0.039    0.444   5
02 10    0.108    0.074    0.329  999.000  999.000    0.158    0.115    0.128    0.050    0.088    0.029    0.357   5
02 11    0.091    0.106    0.449  999.000  999.000    0.111    0.087    0.117    0.031    0.109    0.036    0.512   5
02 12    0.098    0.183    0.399  999.000  999.000    0.121    0.107    0.130    0.020    0.112    0.042    0.782   5
02 13    0.159    0.225    0.317  999.000  999.000    0.308    0.196    0.130    0.034    0.126    0.054    1.326   5
02 14    0.174    0.131    0.218  999.000  999.000    0.332    0.192    0.160    0.062    0.125    0.065    0.679   5
02 15    0.104    0.148    0.176  999.000  999.000    0.179    0.098    0.117    0.050    0.075    0.051    0.527   5
02 16    0.083    0.173    0.170  999.000  999.000    0.146    0.085    0.121    0.028    0.036    0.038    0.738   5
02 17    0.079    0.108    0.089  999.000  999.000    0.143    0.092    0.077    0.032    0.051    0.046    0.710   5
